id,user_id,session_id,timestamp,health_profile,product_id,product_name,barcode,category,ingredients,season,action,dlc_days,hour,cart_id,order_id,quantity,price
2116,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_110,07:48.2,Obesity. Gluten intolerance,229,Eggs 6pcs,2504000029,Dairy Products,Pasteurized milk. Lactic ferments,Winter,purchase,205,10,17,66,1,260
1297,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_358,11:19.3,Obesity,135,Lamb chops,2502000055,Meat & Poultry,Halal meat. No additives,Winter,purchase,167,4,31,27,1,465
1529,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_34,42:43.1,Obesity,160,Beef tenderloin,2502000080,Meat & Poultry,Halal meat. No additives,Winter,purchase,362,1,9,349,1,785
1407,ee73349d-e874-4754-aafb-1bce58c348f7,sess_429,01:53.9,Diabetes,147,Lamb chops,2502000067,Meat & Poultry,Halal meat. No additives,Spring,purchase,299,3,13,492,1,635
1349,0747b7f5-f8d4-4582-b20c-2ab53700fbe0,sess_227,17:40.9,Lactose intolerance,141,Chicken breast slices,2502000061,Meat & Poultry,Halal meat. No additives,Winter,purchase,353,0,25,32,1,650
944,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_43,40:28.5,Gluten intolerance,95,Ground beef 5% fat,2502000015,Meat & Poultry,Halal meat. No additives,Winter,purchase,386,8,40,5,1,605
446,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_462,47:52.4,Obesity. Gluten intolerance,44,Pears 1kg,2501100044,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,155,15,17,105,1,110
1305,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_292,25:15.6,Gluten intolerance,137,Turkey escalope,2502000057,Meat & Poultry,Halal meat. No additives,Winter,purchase,395,19,40,346,1,670
502,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_181,25:06.3,Obesity. Gluten intolerance,32,Yellow onions bulk,2501000032,Fruits & Vegetables,Fresh products. No preservatives,Spring,purchase,135,7,17,119,1,130
1269,509572f2-5e28-49b0-8500-cc9e930be7ff,sess_311,43:37.0,Gluten intolerance,132,Ground beef 15% fat,2502000052,Meat & Poultry,Halal meat. No additives,Winter,purchase,162,14,11,104,1,435
1526,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_10,57:47.5,Obesity. Diabetes,159,Lamb chops,2502000079,Meat & Poultry,Halal meat. No additives,Winter,purchase,346,7,10,71,1,890
1193,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_422,08:40.2,Obesity. Diabetes,124,Beef tenderloin,2502000044,Meat & Poultry,Halal meat. No additives,Winter,purchase,297,8,10,91,1,215
1253,27403d98-f72b-479f-9248-dad1a7c7c137,sess_195,03:07.7,Seafood allergy,130,Chicken thighs,2502000050,Meat & Poultry,Halal meat. No additives,Spring,purchase,340,5,12,298,1,675
1406,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_498,08:33.1,Obesity. Gluten intolerance,147,Lamb chops,2502000067,Meat & Poultry,Halal meat. No additives,Winter,purchase,329,2,17,87,1,635
1140,40631c98-0f96-44d3-ae39-770db02e1855,sess_93,34:50.6,Vegan,119,Ground beef 5% fat,2502000039,Meat & Poultry,Halal meat. No additives,Winter,purchase,367,1,19,388,1,210
1136,6a3cae51-96f0-4c71-b455-ee972fdd4efd,sess_369,12:55.0,Lactose intolerance,119,Ground beef 5% fat,2502000039,Meat & Poultry,Halal meat. No additives,Spring,purchase,326,5,87,468,1,210
967,ceca1076-c4a4-4da7-9b74-9d100f7cb0e6,sess_447,35:04.7,Nut allergy,97,Couscous meat,2502000017,Meat & Poultry,Halal meat. No additives,Spring,purchase,99,0,27,304,1,335
1367,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_109,17:15.6,None,143,Ground beef 5% fat,2502000063,Meat & Poultry,Halal meat. No additives,Spring,view,231,4,,,,240
1039,baffd60c-12c8-4622-b1a5-36b749018c71,sess_50,43:37.7,Diabetes,107,Ground beef 5% fat,2502000027,Meat & Poultry,Halal meat. No additives,Winter,view,343,3,,,,420
1263,baffd60c-12c8-4622-b1a5-36b749018c71,sess_471,49:41.5,Diabetes,132,Ground beef 15% fat,2502000052,Meat & Poultry,Halal meat. No additives,Spring,view,133,0,,,,435
1368,baffd60c-12c8-4622-b1a5-36b749018c71,sess_149,43:50.2,Diabetes,143,Ground beef 5% fat,2502000063,Meat & Poultry,Halal meat. No additives,Spring,view,224,3,,,,240
1541,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_474,58:51.6,Gluten intolerance,161,Mackerel,2503000001,Fish & Seafood,Fresh fish. Daily catch,Winter,purchase,135,13,40,63,1,360
1442,baffd60c-12c8-4622-b1a5-36b749018c71,sess_177,25:35.7,Diabetes,151,Kefta meatballs,2502000071,Meat & Poultry,Halal meat. No additives,Winter,click,376,5,,,,825
1222,0747b7f5-f8d4-4582-b20c-2ab53700fbe0,sess_312,52:21.8,Lactose intolerance,128,Whole chicken,2502000048,Meat & Poultry,Halal meat. No additives,Winter,view,177,4,,,,975
2167,40631c98-0f96-44d3-ae39-770db02e1855,sess_483,13:56.7,Vegan,234,Cottage cheese,2504000034,Dairy Products,Pasteurized milk. Lactic ferments,Spring,purchase,97,16,19,470,1,130
1238,0747b7f5-f8d4-4582-b20c-2ab53700fbe0,sess_157,15:42.9,Lactose intolerance,129,Chicken breast slices,2502000049,Meat & Poultry,Halal meat. No additives,Winter,click,366,4,,,,875
1416,0747b7f5-f8d4-4582-b20c-2ab53700fbe0,sess_352,43:45.2,Lactose intolerance,149,Turkey escalope,2502000069,Meat & Poultry,Halal meat. No additives,Winter,click,246,0,,,,820
1431,0747b7f5-f8d4-4582-b20c-2ab53700fbe0,sess_389,11:26.8,Lactose intolerance,150,Kefta meatballs,2502000070,Meat & Poultry,Halal meat. No additives,Spring,click,67,5,,,,715
867,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_229,36:59.0,Obesity,87,Lamb chops,2502000007,Meat & Poultry,Halal meat. No additives,Spring,view,96,2,,,,870
1106,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_262,51:33.5,Obesity,115,Kefta meatballs,2502000035,Meat & Poultry,Halal meat. No additives,Winter,view,247,4,,,,430
1303,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_37,50:10.7,Obesity,137,Turkey escalope,2502000057,Meat & Poultry,Halal meat. No additives,Winter,view,395,5,,,,670
121,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_430,33:50.9,Obesity. Diabetes,11,Potatoes bulk,2501000011,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,266,15,10,7,1,110
91,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_345,57:47.1,Obesity. Diabetes,946,Garbage bags,2512000006,Household Cleaning,Natural ingredients,Winter,purchase,1450,10,10,363,1,155
1359,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_397,02:52.5,Obesity,142,Chicken thighs,2502000062,Meat & Poultry,Halal meat. No additives,Winter,click,196,5,,,,795
1049,6a3cae51-96f0-4c71-b455-ee972fdd4efd,sess_260,50:45.7,Lactose intolerance,108,Ground beef 15% fat,2502000028,Meat & Poultry,Halal meat. No additives,Winter,view,241,4,,,,710
1432,6a3cae51-96f0-4c71-b455-ee972fdd4efd,sess_416,45:45.7,Lactose intolerance,150,Kefta meatballs,2502000070,Meat & Poultry,Halal meat. No additives,Winter,view,132,5,,,,715
1409,c52a59e6-19cb-43bd-a94b-f079267ebf21,sess_51,04:04.2,Diabetes,148,Beef tenderloin,2502000068,Meat & Poultry,Halal meat. No additives,Winter,click,283,1,,,,655
870,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_2,47:09.2,Nut allergy,87,Lamb chops,2502000007,Meat & Poultry,Halal meat. No additives,Spring,view,98,4,,,,870
1920,69663972-3579-4cfa-a2e2-a1b47e76cec6,sess_28,59:16.9,Obesity. Diabetes,205,Petit suisse cheese,2504000005,Dairy Products,Pasteurized milk. Lactic ferments,Spring,purchase,275,22,10,504,1,85
1174,853a2f73-c021-4e9c-9540-380f472d8f9c,sess_189,34:10.6,Seafood allergy,122,Merguez sausages,2502000042,Meat & Poultry,Halal meat. No additives,Spring,purchase,150,11,37,479,1,550
1433,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_396,49:08.9,Obesity,150,Kefta meatballs,2502000070,Meat & Poultry,Halal meat. No additives,Winter,purchase,93,11,31,102,1,715
1040,c52a59e6-19cb-43bd-a94b-f079267ebf21,sess_0,29:54.6,Diabetes,107,Ground beef 5% fat,2502000027,Meat & Poultry,Halal meat. No additives,Winter,purchase,372,14,32,366,1,420
974,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_393,12:46.1,Nut allergy,98,Merguez sausages,2502000018,Meat & Poultry,Halal meat. No additives,Winter,click,237,4,,,,235
1561,6a3cae51-96f0-4c71-b455-ee972fdd4efd,sess_209,04:41.2,Lactose intolerance,163,Shrimp,2503000003,Fish & Seafood,Fresh fish. Daily catch,Winter,purchase,241,10,87,101,1,1005
166,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_281,14:26.5,None,2,Yellow onions bulk,2501000002,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,223,20,15,65,1,145
1032,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_414,24:09.2,Nut allergy,106,Chicken thighs,2502000026,Meat & Poultry,Halal meat. No additives,Winter,view,271,0,,,,295
1081,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_82,23:58.6,Nut allergy,112,Beef tenderloin,2502000032,Meat & Poultry,Halal meat. No additives,Winter,click,338,5,,,,725
1250,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_260,48:20.2,Nut allergy,130,Chicken thighs,2502000050,Meat & Poultry,Halal meat. No additives,Spring,view,334,1,,,,675
1321,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_173,55:53.9,Nut allergy,139,Kefta meatballs,2502000059,Meat & Poultry,Halal meat. No additives,Winter,click,382,3,,,,735
1531,7decf8bb-2d5a-41df-926e-2513271e9fb5,sess_278,53:05.5,Nut allergy,160,Beef tenderloin,2502000080,Meat & Poultry,Halal meat. No additives,Winter,click,312,0,,,,785
1186,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_408,51:01.1,Gluten intolerance,124,Beef tenderloin,2502000044,Meat & Poultry,Halal meat. No additives,Winter,view,340,0,,,,215
1239,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_206,32:24.0,Gluten intolerance,129,Chicken breast slices,2502000049,Meat & Poultry,Halal meat. No additives,Spring,view,326,3,,,,875
1331,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_120,15:29.6,Gluten intolerance,140,Whole chicken,2502000060,Meat & Poultry,Halal meat. No additives,Spring,view,130,5,,,,895
1374,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_243,44:39.0,Gluten intolerance,144,Ground beef 15% fat,2502000064,Meat & Poultry,Halal meat. No additives,Winter,view,133,3,,,,245
606,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_438,19:48.4,None,60,Pears 1kg,2501100060,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,216,23,15,70,1,140
1444,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_361,45:31.8,Gluten intolerance,151,Kefta meatballs,2502000071,Meat & Poultry,Halal meat. No additives,Winter,click,356,4,,,,825
945,313a9d3f-210f-4178-b836-017d55c6d8b1,sess_103,02:42.8,None,95,Ground beef 5% fat,2502000015,Meat & Poultry,Halal meat. No additives,Winter,click,384,4,,,,605
1288,9e81b4d0-36eb-4253-af33-27e25ef71e3c,sess_300,09:08.3,None,134,Merguez sausages,2502000054,Meat & Poultry,Halal meat. No additives,Winter,view,135,4,,,,445
1266,8b1286e0-ed94-43a0-8894-933a96b3b969,sess_480,00:27.6,Obesity,132,Ground beef 15% fat,2502000052,Meat & Poultry,Halal meat. No additives,Winter,click,190,4,,,,435
1299,8b1286e0-ed94-43a0-8894-933a96b3b969,sess_242,24:50.0,Obesity,136,Beef tenderloin,2502000056,Meat & Poultry,Halal meat. No additives,Winter,click,191,0,,,,580
1306,8b1286e0-ed94-43a0-8894-933a96b3b969,sess_443,56:36.4,Obesity,137,Turkey escalope,2502000057,Meat & Poultry,Halal meat. No additives,Winter,view,368,4,,,,670
1313,8b1286e0-ed94-43a0-8894-933a96b3b969,sess_168,54:16.4,Obesity,138,Kefta meatballs,2502000058,Meat & Poultry,Halal meat. No additives,Winter,click,163,3,,,,650
1512,8b1286e0-ed94-43a0-8894-933a96b3b969,sess_190,08:46.8,Obesity,158,Merguez sausages,2502000078,Meat & Poultry,Halal meat. No additives,Winter,view,371,5,,,,440
826,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_166,14:10.3,Obesity,82,Chicken thighs,2502000002,Meat & Poultry,Halal meat. No additives,Spring,click,327,3,,,,705
233,c52a59e6-19cb-43bd-a94b-f079267ebf21,sess_493,32:01.5,Diabetes,8,Cucumbers bulk,2501000008,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,205,6,32,39,1,75
858,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_433,46:56.9,Obesity,86,Merguez sausages,2502000006,Meat & Poultry,Halal meat. No additives,Winter,view,176,4,,,,220
1152,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_391,00:35.2,Obesity,121,Couscous meat,2502000041,Meat & Poultry,Halal meat. No additives,Winter,click,340,3,,,,795
1166,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_320,25:13.6,Obesity,122,Merguez sausages,2502000042,Meat & Poultry,Halal meat. No additives,Spring,click,151,0,,,,550
1216,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_456,58:40.5,Obesity,127,Kefta meatballs,2502000047,Meat & Poultry,Halal meat. No additives,Spring,view,322,2,,,,960
1361,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_155,32:38.6,Obesity,142,Chicken thighs,2502000062,Meat & Poultry,Halal meat. No additives,Spring,view,159,2,,,,795
1418,94f42f1e-fb08-499a-ad5d-4c5030263265,sess_331,25:06.8,Obesity,149,Turkey escalope,2502000069,Meat & Poultry,Halal meat. No additives,Winter,view,253,4,,,,820
995,e7625b99-e2ff-457d-8a28-8b1bfeeebaf5,sess_80,51:45.0,Gluten intolerance,101,Turkey escalope,2502000021,Meat & Poultry,Halal meat. No additives,Winter,view,246,2,,,,235
1362,e7625b99-e2ff-457d-8a28-8b1bfeeebaf5,sess_269,41:48.9,Gluten intolerance,142,Chicken thighs,2502000062,Meat & Poultry,Halal meat. No additives,Winter,click,239,1,,,,795
1479,e7625b99-e2ff-457d-8a28-8b1bfeeebaf5,sess_212,42:38.8,Gluten intolerance,155,Ground beef 5% fat,2502000075,Meat & Poultry,Halal meat. No additives,Winter,click,391,1,,,,325
946,1c2fff2e-c3c1-437f-a6ac-7a671545d3e6,sess_328,01:03.8,Nut allergy,95,Ground beef 5% fat,2502000015,Meat & Poultry,Halal meat. No additives,Winter,click,339,5,,,,605
1068,1c2fff2e-c3c1-437f-a6ac-7a671545d3e6,sess_330,32:26.7,Nut allergy,110,Merguez sausages,2502000030,Meat & Poultry,Halal meat. No additives,Winter,click,181,2,,,,470
1171,c64a7102-1c12-4877-81bf-99c045d5073f,sess_472,01:02.0,Keto diet,122,Merguez sausages,2502000042,Meat & Poultry,Halal meat. No additives,Winter,purchase,169,13,55,94,1,550
1075,c7ea9f72-b36d-4b9c-afe5-2b6ae49cc2d6,sess_18,19:51.8,Gluten intolerance,111,Lamb chops,2502000031,Meat & Poultry,Halal meat. No additives,Winter,purchase,319,19,36,450,1,760
1093,d02a3cce-e0d4-4c96-ab79-6e9452ad6d31,sess_79,26:49.8,Celiac disease,113,Turkey escalope,2502000033,Meat & Poultry,Halal meat. No additives,Spring,purchase,275,19,23,471,1,880
1831,c7ea9f72-b36d-4b9c-afe5-2b6ae49cc2d6,sess_280,26:25.8,Gluten intolerance,196,Squid,2503000036,Fish & Seafood,Fresh fish. Daily catch,Winter,purchase,99,12,36,451,1,575
1386,1c2fff2e-c3c1-437f-a6ac-7a671545d3e6,sess_87,55:44.8,Nut allergy,145,Couscous meat,2502000065,Meat & Poultry,Halal meat. No additives,Winter,click,143,3,,,,710
1116,e43f0231-4200-48fa-a7df-baeda35f4a01,sess_389,47:24.4,None,116,Whole chicken,2502000036,Meat & Poultry,Halal meat. No additives,Winter,view,376,1,,,,825
817,ceca1076-c4a4-4da7-9b74-9d100f7cb0e6,sess_28,37:27.8,Nut allergy,81,Chicken breast slices,2502000001,Meat & Poultry,Halal meat. No additives,Winter,view,244,4,,,,490
948,ceca1076-c4a4-4da7-9b74-9d100f7cb0e6,sess_255,27:31.5,Nut allergy,95,Ground beef 5% fat,2502000015,Meat & Poultry,Halal meat. No additives,Winter,click,358,0,,,,605
1315,ceca1076-c4a4-4da7-9b74-9d100f7cb0e6,sess_175,27:00.3,Nut allergy,138,Kefta meatballs,2502000058,Meat & Poultry,Halal meat. No additives,Spring,view,144,4,,,,650
1154,5eeb01c8-0a72-4c1f-a431-18f3f5669ae3,sess_224,31:34.2,Diabetes. Lactose intolerance,121,Couscous meat,2502000041,Meat & Poultry,Halal meat. No additives,Winter,click,335,1,,,,795
1197,5eeb01c8-0a72-4c1f-a431-18f3f5669ae3,sess_470,15:02.6,Diabetes. Lactose intolerance,125,Turkey escalope,2502000045,Meat & Poultry,Halal meat. No additives,Winter,click,369,1,,,,945
583,c7ea9f72-b36d-4b9c-afe5-2b6ae49cc2d6,sess_143,52:59.7,Gluten intolerance,57,Bananas 1kg,2501100057,Fruits & Vegetables,Fresh products. No preservatives,Spring,purchase,284,22,36,461,1,260
824,32c1512b-c890-477c-b126-9bdc97d9ea98,sess_226,43:01.8,Gluten intolerance,82,Chicken thighs,2502000002,Meat & Poultry,Halal meat. No additives,Spring,search,310,0,,,,
873,0f76cc88-35b9-477c-870a-8ef54989cc84,sess_408,25:56.1,Diabetes,87,Lamb chops,2502000007,Meat & Poultry,Halal meat. No additives,Winter,click,139,2,,,,870
1206,0f76cc88-35b9-477c-870a-8ef54989cc84,sess_363,19:47.8,Diabetes,126,Kefta meatballs,2502000046,Meat & Poultry,Halal meat. No additives,Spring,view,137,3,,,,975
2072,cf1a5862-2349-4941-acf7-90ad2d08d34e,sess_413,06:42.3,Lactose intolerance,224,Sour cream,2504000024,Dairy Products,Pasteurized milk. Lactic ferments,Winter,purchase,258,12,39,26,1,300
161,d02a3cce-e0d4-4c96-ab79-6e9452ad6d31,sess_22,26:09.8,Celiac disease,1,Potatoes bulk,2501000001,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,137,18,23,375,1,170
1410,0f76cc88-35b9-477c-870a-8ef54989cc84,sess_27,25:16.3,Diabetes,148,Beef tenderloin,2502000068,Meat & Poultry,Halal meat. No additives,Winter,view,317,3,,,,655
1600,d02a3cce-e0d4-4c96-ab79-6e9452ad6d31,sess_76,36:29.5,Celiac disease,169,Mackerel,2503000009,Fish & Seafood,Fresh fish. Daily catch,Spring,purchase,82,10,23,149,1,1465
21,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_107,58:40.1,Obesity,165,Tuna,2503000005,Fish & Seafood,Fresh fish. Daily catch,Winter,purchase,371,22,9,381,1,830
1387,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_84,32:11.7,Obesity. Gluten intolerance,145,Couscous meat,2502000065,Meat & Poultry,Halal meat. No additives,Winter,click,140,1,,,,710
1522,306e2dee-45e4-4b39-9b11-84df4671ada2,sess_123,27:19.1,Obesity. Gluten intolerance,159,Lamb chops,2502000079,Meat & Poultry,Halal meat. No additives,Spring,click,320,2,,,,890
477,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_254,30:11.7,Obesity,48,Golden apples 1kg,2501100048,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,312,13,9,100,1,205
845,6f56871a-5649-48e7-b3b8-d7216817288c,sess_437,42:54.0,Nut allergy. Lactose intolerance,84,Ground beef 15% fat,2502000004,Meat & Poultry,Halal meat. No additives,Winter,view,179,5,,,,425
1468,6f56871a-5649-48e7-b3b8-d7216817288c,sess_135,55:54.3,Nut allergy. Lactose intolerance,154,Chicken thighs,2502000074,Meat & Poultry,Halal meat. No additives,Winter,click,303,1,,,,760
620,dcf682cf-6760-4f05-b153-33fe78ae5334,sess_20,59:39.8,Obesity,61,Grapes 1kg,2501100061,Fruits & Vegetables,Fresh products. No preservatives,Winter,purchase,312,22,9,114,1,300
1480,6f56871a-5649-48e7-b3b8-d7216817288c,sess_7,38:40.5,Nut allergy. Lactose intolerance,155,Ground beef 5% fat,2502000075,Meat & Poultry,Halal meat. No additives,Winter,view,338,5,,,,325
1946,e43f0231-4200-48fa-a7df-baeda35f4a01,sess_297,52:29.5,None,208,Unsalted butter,2504000008,Dairy Products,Pasteurized milk. Lactic ferments,Winter,purchase,319,20,110,418,1,110
1514,6f56871a-5649-48e7-b3b8-d7216817288c,sess_293,22:12.4,Nut allergy. Lactose intolerance,158,Merguez sausages,2502000078,Meat & Poultry,Halal meat. No additives,Spring,click,315,5,,,,440
