id,barcode,name,price,category_name,brand,supplier,expiration_date,allergens,Ingredients vary by product,tags
33,2501000033,Carrots bulk,155,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,8/8/2026 7:41,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
34,2501000034,Zucchini bulk,65,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,12/28/2026 7:13,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
35,2501000035,Green peppers bulk,115,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,9/12/2026 7:22,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
36,2501000036,Eggplants bulk,65,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,8/17/2026 20:46,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
37,2501000037,Green salad bulk,140,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,12/21/2026 22:35,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
38,2501000038,Cucumbers bulk,130,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,9/27/2026 16:36,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
39,2501000039,Green beans bulk,55,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,12/16/2026 5:20,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
40,2501000040,Round tomatoes bulk,105,Fruits & Vegetables,Fresh Day,Fresh Day Ltd,12/22/2026 15:26,[],Fresh products. No preservatives,"[""fresh"". ""vegetables""]"
41,2501100041,Bananas 1kg,310,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,11/12/2026 23:46,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
42,2501100042,Oranges 1kg,260,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,11/30/2026 5:59,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
43,2501100043,Clementines 1kg,265,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,11/11/2026 1:49,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
44,2501100044,Pears 1kg,110,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,7/30/2026 5:52,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
45,2501100045,Grapes 1kg,300,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,2/3/2027 17:58,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
46,2501100046,Strawberries 1kg,325,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,1/27/2027 1:45,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
47,2501100047,Watermelon 1kg,280,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,1/30/2027 10:44,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
48,2501100048,Golden apples 1kg,205,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,1/1/2027 1:00,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
49,2501100049,Bananas 1kg,130,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,12/2/2026 23:19,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
50,2501100050,Oranges 1kg,85,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,6/16/2026 12:51,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
51,2501100051,Clementines 1kg,120,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,7/18/2026 6:56,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
52,2501100052,Pears 1kg,155,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,6/17/2026 7:13,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
53,2501100053,Grapes 1kg,205,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,5/24/2026 11:25,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
54,2501100054,Strawberries 1kg,285,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/30/2026 17:57,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
55,2501100055,Watermelon 1kg,255,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/25/2026 20:49,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
56,2501100056,Golden apples 1kg,285,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,5/23/2026 13:19,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
57,2501100057,Bananas 1kg,260,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,12/13/2026 16:38,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
58,2501100058,Oranges 1kg,325,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,7/14/2026 7:54,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
59,2501100059,Clementines 1kg,285,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,11/4/2026 18:58,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
60,2501100060,Pears 1kg,140,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/9/2026 10:03,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
61,2501100061,Grapes 1kg,300,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,1/5/2027 22:52,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
62,2501100062,Strawberries 1kg,150,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,2/12/2027 17:41,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
63,2501100063,Watermelon 1kg,290,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,1/4/2027 14:06,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
64,2501100064,Golden apples 1kg,250,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/30/2026 18:46,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
65,2501100065,Bananas 1kg,290,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,8/29/2026 8:13,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
66,2501100066,Oranges 1kg,125,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/29/2026 14:45,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
67,2501100067,Clementines 1kg,120,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,8/29/2026 10:13,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
68,2501100068,Pears 1kg,280,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,12/22/2026 10:45,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
69,2501100069,Grapes 1kg,250,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/12/2026 11:34,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
70,2501100070,Strawberries 1kg,245,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,6/17/2026 12:48,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
71,2501100071,Watermelon 1kg,115,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,6/14/2026 11:54,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
72,2501100072,Golden apples 1kg,300,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,7/24/2026 14:36,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
73,2501100073,Bananas 1kg,235,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,8/12/2026 13:34,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
74,2501100074,Oranges 1kg,185,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,10/1/2026 6:16,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
75,2501100075,Clementines 1kg,125,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,10/16/2026 15:29,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
76,2501100076,Pears 1kg,135,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,9/5/2026 9:48,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
77,2501100077,Grapes 1kg,85,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,5/28/2026 0:29,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
78,2501100078,Strawberries 1kg,190,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,6/20/2026 12:41,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
79,2501100079,Watermelon 1kg,160,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,1/25/2027 3:59,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
80,2501100080,Golden apples 1kg,150,Fruits & Vegetables,Fruit Select,Fresh Day Ltd,8/12/2026 12:12,[],Fresh products. No preservatives,"[""fresh"". ""fruits""]"
81,2502000001,Chicken breast slices,490,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/27/2026 15:19,[],Halal meat. No additives,"[""meat"". ""halal""]"
82,2502000002,Chicken thighs,705,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/24/2027 21:26,[],Halal meat. No additives,"[""meat"". ""halal""]"
83,2502000003,Ground beef 5% fat,720,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,10/26/2026 11:53,[],Halal meat. No additives,"[""meat"". ""halal""]"
84,2502000004,Ground beef 15% fat,425,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/3/2026 12:59,[],Halal meat. No additives,"[""meat"". ""halal""]"
85,2502000005,Couscous meat,805,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/17/2026 21:16,[],Halal meat. No additives,"[""meat"". ""halal""]"
86,2502000006,Merguez sausages,220,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/25/2026 23:02,[],Halal meat. No additives,"[""meat"". ""halal""]"
87,2502000007,Lamb chops,870,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/19/2026 5:16,[],Halal meat. No additives,"[""meat"". ""halal""]"
88,2502000008,Beef tenderloin,710,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,11/11/2026 18:05,[],Halal meat. No additives,"[""meat"". ""halal""]"
89,2502000009,Turkey escalope,345,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/12/2027 3:09,[],Halal meat. No additives,"[""meat"". ""halal""]"
90,2502000010,Kefta meatballs,690,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/1/2027 6:12,[],Halal meat. No additives,"[""meat"". ""halal""]"
91,2502000011,Kefta meatballs,495,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/20/2026 1:20,[],Halal meat. No additives,"[""meat"". ""halal""]"
92,2502000012,Whole chicken,800,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/1/2026 9:55,[],Halal meat. No additives,"[""meat"". ""halal""]"
93,2502000013,Chicken breast slices,385,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,5/24/2026 10:28,[],Halal meat. No additives,"[""meat"". ""halal""]"
94,2502000014,Chicken thighs,565,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/5/2026 3:23,[],Halal meat. No additives,"[""meat"". ""halal""]"
95,2502000015,Ground beef 5% fat,605,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/19/2027 1:34,[],Halal meat. No additives,"[""meat"". ""halal""]"
96,2502000016,Ground beef 15% fat,915,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/14/2026 19:43,[],Halal meat. No additives,"[""meat"". ""halal""]"
97,2502000017,Couscous meat,335,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/14/2026 17:49,[],Halal meat. No additives,"[""meat"". ""halal""]"
98,2502000018,Merguez sausages,235,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/13/2026 18:21,[],Halal meat. No additives,"[""meat"". ""halal""]"
99,2502000019,Lamb chops,300,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,8/20/2026 11:36,[],Halal meat. No additives,"[""meat"". ""halal""]"
100,2502000020,Beef tenderloin,220,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,8/3/2026 2:53,[],Halal meat. No additives,"[""meat"". ""halal""]"
101,2502000021,Turkey escalope,235,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/10/2026 3:15,[],Halal meat. No additives,"[""meat"". ""halal""]"
102,2502000022,Kefta meatballs,445,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/6/2027 1:25,[],Halal meat. No additives,"[""meat"". ""halal""]"
103,2502000023,Kefta meatballs,565,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/8/2026 12:19,[],Halal meat. No additives,"[""meat"". ""halal""]"
104,2502000024,Whole chicken,990,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/23/2026 5:10,[],Halal meat. No additives,"[""meat"". ""halal""]"
105,2502000025,Chicken breast slices,290,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/6/2027 13:56,[],Halal meat. No additives,"[""meat"". ""halal""]"
106,2502000026,Chicken thighs,295,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,11/11/2026 16:05,[],Halal meat. No additives,"[""meat"". ""halal""]"
107,2502000027,Ground beef 5% fat,420,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/22/2027 4:42,[],Halal meat. No additives,"[""meat"". ""halal""]"
108,2502000028,Ground beef 15% fat,710,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/3/2026 8:04,[],Halal meat. No additives,"[""meat"". ""halal""]"
109,2502000029,Couscous meat,370,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,11/14/2026 21:13,[],Halal meat. No additives,"[""meat"". ""halal""]"
110,2502000030,Merguez sausages,470,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/25/2026 10:22,[],Halal meat. No additives,"[""meat"". ""halal""]"
111,2502000031,Lamb chops,760,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/11/2027 21:56,[],Halal meat. No additives,"[""meat"". ""halal""]"
112,2502000032,Beef tenderloin,725,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/8/2026 17:45,[],Halal meat. No additives,"[""meat"". ""halal""]"
113,2502000033,Turkey escalope,880,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/7/2026 18:50,[],Halal meat. No additives,"[""meat"". ""halal""]"
114,2502000034,Kefta meatballs,545,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/6/2027 13:05,[],Halal meat. No additives,"[""meat"". ""halal""]"
115,2502000035,Kefta meatballs,430,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/24/2026 8:58,[],Halal meat. No additives,"[""meat"". ""halal""]"
116,2502000036,Whole chicken,825,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/30/2027 0:12,[],Halal meat. No additives,"[""meat"". ""halal""]"
117,2502000037,Chicken breast slices,865,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,10/4/2026 22:00,[],Halal meat. No additives,"[""meat"". ""halal""]"
118,2502000038,Chicken thighs,970,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/15/2026 19:05,[],Halal meat. No additives,"[""meat"". ""halal""]"
119,2502000039,Ground beef 5% fat,210,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/26/2027 20:46,[],Halal meat. No additives,"[""meat"". ""halal""]"
120,2502000040,Ground beef 15% fat,925,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/6/2026 4:04,[],Halal meat. No additives,"[""meat"". ""halal""]"
121,2502000041,Couscous meat,795,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/4/2026 19:21,[],Halal meat. No additives,"[""meat"". ""halal""]"
122,2502000042,Merguez sausages,550,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,8/8/2026 9:24,[],Halal meat. No additives,"[""meat"". ""halal""]"
123,2502000043,Lamb chops,810,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,11/18/2026 20:17,[],Halal meat. No additives,"[""meat"". ""halal""]"
124,2502000044,Beef tenderloin,215,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/12/2026 9:04,[],Halal meat. No additives,"[""meat"". ""halal""]"
125,2502000045,Turkey escalope,945,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/22/2027 18:01,[],Halal meat. No additives,"[""meat"". ""halal""]"
126,2502000046,Kefta meatballs,975,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/18/2026 22:28,[],Halal meat. No additives,"[""meat"". ""halal""]"
127,2502000047,Kefta meatballs,960,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/2/2027 9:51,[],Halal meat. No additives,"[""meat"". ""halal""]"
128,2502000048,Whole chicken,975,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/26/2026 21:40,[],Halal meat. No additives,"[""meat"". ""halal""]"
129,2502000049,Chicken breast slices,875,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/5/2027 15:23,[],Halal meat. No additives,"[""meat"". ""halal""]"
130,2502000050,Chicken thighs,675,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/9/2027 7:54,[],Halal meat. No additives,"[""meat"". ""halal""]"
131,2502000051,Ground beef 5% fat,960,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/23/2026 9:10,[],Halal meat. No additives,"[""meat"". ""halal""]"
132,2502000052,Ground beef 15% fat,435,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,8/6/2026 9:45,[],Halal meat. No additives,"[""meat"". ""halal""]"
133,2502000053,Couscous meat,650,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/3/2026 13:03,[],Halal meat. No additives,"[""meat"". ""halal""]"
134,2502000054,Merguez sausages,445,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,5/25/2026 9:06,[],Halal meat. No additives,"[""meat"". ""halal""]"
135,2502000055,Lamb chops,465,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/30/2026 22:43,[],Halal meat. No additives,"[""meat"". ""halal""]"
136,2502000056,Beef tenderloin,580,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,8/18/2026 2:43,[],Halal meat. No additives,"[""meat"". ""halal""]"
137,2502000057,Turkey escalope,670,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/29/2027 11:51,[],Halal meat. No additives,"[""meat"". ""halal""]"
138,2502000058,Kefta meatballs,650,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/26/2026 8:26,[],Halal meat. No additives,"[""meat"". ""halal""]"
139,2502000059,Kefta meatballs,735,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,2/5/2027 17:07,[],Halal meat. No additives,"[""meat"". ""halal""]"
140,2502000060,Whole chicken,895,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/27/2026 0:50,[],Halal meat. No additives,"[""meat"". ""halal""]"
141,2502000061,Chicken breast slices,650,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/3/2027 17:10,[],Halal meat. No additives,"[""meat"". ""halal""]"
142,2502000062,Chicken thighs,795,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,8/26/2026 7:43,[],Halal meat. No additives,"[""meat"". ""halal""]"
143,2502000063,Ground beef 5% fat,240,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,10/19/2026 14:09,[],Halal meat. No additives,"[""meat"". ""halal""]"
144,2502000064,Ground beef 15% fat,245,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/19/2026 21:16,[],Halal meat. No additives,"[""meat"". ""halal""]"
145,2502000065,Couscous meat,710,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/8/2026 22:19,[],Halal meat. No additives,"[""meat"". ""halal""]"
146,2502000066,Merguez sausages,500,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,7/9/2026 6:09,[],Halal meat. No additives,"[""meat"". ""halal""]"
147,2502000067,Lamb chops,635,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/11/2027 3:42,[],Halal meat. No additives,"[""meat"". ""halal""]"
148,2502000068,Beef tenderloin,655,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/3/2026 2:43,[],Halal meat. No additives,"[""meat"". ""halal""]"
149,2502000069,Turkey escalope,820,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/25/2026 3:17,[],Halal meat. No additives,"[""meat"". ""halal""]"
150,2502000070,Kefta meatballs,715,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,5/27/2026 20:33,[],Halal meat. No additives,"[""meat"". ""halal""]"
151,2502000071,Kefta meatballs,825,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/31/2027 10:48,[],Halal meat. No additives,"[""meat"". ""halal""]"
152,2502000072,Whole chicken,705,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/30/2026 4:36,[],Halal meat. No additives,"[""meat"". ""halal""]"
153,2502000073,Chicken breast slices,985,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,9/24/2026 18:37,[],Halal meat. No additives,"[""meat"". ""halal""]"
154,2502000074,Chicken thighs,760,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,12/21/2026 13:05,[],Halal meat. No additives,"[""meat"". ""halal""]"
155,2502000075,Ground beef 5% fat,325,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/31/2027 20:46,[],Halal meat. No additives,"[""meat"". ""halal""]"
156,2502000076,Ground beef 15% fat,430,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,5/28/2026 13:45,[],Halal meat. No additives,"[""meat"". ""halal""]"
157,2502000077,Couscous meat,690,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,6/22/2026 1:14,[],Halal meat. No additives,"[""meat"". ""halal""]"
158,2502000078,Merguez sausages,440,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/29/2027 3:18,[],Halal meat. No additives,"[""meat"". ""halal""]"
159,2502000079,Lamb chops,890,Meat & Poultry,El Baraka Butchery,El Baraka Butchery,1/17/2027 21:34,[],Halal meat. No additives,"[""meat"". ""halal""]"
